"No.","学期","開講","曜日・時限","時間割コード","科目名","担当教員","シラバスURL"
"1","前期","前期","水3","023001-01","日本国憲法","漆畑 貴久","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023001-01_ja_JP.html"
"2","前期","前期","水4","023001-02","日本国憲法","漆畑 貴久","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023001-02_ja_JP.html"
"3","前期","前期","木3","023001-03","日本国憲法","漆畑 貴久","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023001-03_ja_JP.html"
"4","前期","前期","木4","023001-04","日本国憲法","漆畑 貴久","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023001-04_ja_JP.html"
"5","前期","前期","他","023001-51","日本国憲法","漆畑 貴久","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023001-51_ja_JP.html"
"6","前期","前期","金1","023002-01","スポーツと文化","門間 博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023002-01_ja_JP.html"
"7","前期","前期","月1","023003-01","スポーツ科学","門間 博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-01_ja_JP.html"
"8","前期","前期","月2","023003-02","スポーツ科学","門間 博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-02_ja_JP.html"
"9","前期","前期","月3","023003-03","スポーツ科学","門間 博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-03_ja_JP.html"
"10","前期","前期","月4","023003-04","スポーツ科学","門間 博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-04_ja_JP.html"
"11","前期","前期","火1","023003-05","スポーツ科学","加藤 恵子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-05_ja_JP.html"
"12","前期","前期","火2","023003-06","スポーツ科学","加藤 恵子","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-06_ja_JP.html"
"13","前期","前期","火3","023003-07""スポーツ科学","山口 瑞生","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-07_ja_JP.html"
"14","前期","前期","火4","023003-08","スポーツ科学","山口 瑞生","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-08_ja_JP.html"
"15","前期","前期","水4","023003-09","スポーツ科学","山口 瑞生","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-09_ja_JP.html"
"16","前期","前期","木4","023003-10","スポーツ科学","山口 瑞生","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-10_ja_JP.html"
"17","前期","前期","金3","023003-13","スポーツ科学","門間 博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-13_ja_JP.html"
"18","前期","前期","金4","023003-14","スポーツ科学","門間 博","https://cssy.aasa.ac.jp/syllabusHtml/2026/00/00_023003-14_ja_JP.html"
